# number of time steps : 1.000 
# nmax = 20, lmax = 05 
# orginal matrix shape [1.0,20, 5, 5 ] 
# Snlm, Tnlm 
# r_s = 40.82 
# ICs from /rsgrps/brant/jngaravitoc/MWLMC_sims/100M/MWLMC6/ 
157.512 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.641 0.000 
0.129 1.076 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.742 0.000 
-0.046 -0.711 
-0.899 0.193 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.365 0.000 
-0.032 0.372 
-0.745 0.078 
0.268 0.822 
0.000 0.000 
0.000 0.000 
-1.492 0.000 
-0.337 -0.086 
0.240 0.001 
0.160 0.161 
0.259 0.073 
0.000 0.000 
-0.140 0.000 
0.810 0.357 
0.493 0.547 
1.212 1.230 
0.936 -0.083 
-0.115 -1.867 
-0.070 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.123 0.000 
0.082 0.294 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.022 0.000 
-0.039 -0.263 
-0.304 0.037 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.136 0.000 
0.007 0.080 
-0.242 0.005 
0.048 0.314 
0.000 0.000 
0.000 0.000 
-0.053 0.000 
0.124 0.271 
-0.002 -0.027 
0.061 0.288 
0.227 -0.007 
0.000 0.000 
0.084 0.000 
-0.091 0.208 
0.386 -0.012 
0.105 0.171 
0.426 -0.106 
-0.208 -0.338 
0.001 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.020 0.000 
0.038 0.092 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.054 0.000 
-0.005 -0.089 
-0.109 0.010 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.047 0.000 
-0.014 0.019 
-0.114 0.016 
0.022 0.101 
0.000 0.000 
0.000 0.000 
-0.090 0.000 
0.001 0.115 
-0.001 0.020 
0.011 0.148 
0.132 -0.020 
0.000 0.000 
0.091 0.000 
0.046 0.132 
0.135 -0.017 
-0.018 0.035 
0.150 -0.005 
-0.072 -0.094 
0.031 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.007 0.000 
0.019 0.030 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.003 0.000 
-0.004 -0.029 
-0.031 0.005 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.021 0.000 
0.001 0.005 
-0.042 0.004 
0.007 0.042 
0.000 0.000 
0.000 0.000 
-0.031 0.000 
0.007 0.058 
0.000 0.001 
0.012 0.061 
0.055 -0.012 
0.000 0.000 
0.019 0.000 
-0.002 0.054 
0.035 -0.015 
0.023 0.029 
0.076 -0.018 
-0.005 -0.080 
0.009 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.003 0.000 
0.006 0.010 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.004 0.000 
0.001 -0.006 
-0.009 0.001 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.008 0.000 
0.001 0.002 
-0.018 0.001 
0.003 0.014 
0.000 0.000 
0.000 0.000 
-0.010 0.000 
0.002 0.024 
-0.004 -0.001 
0.004 0.029 
0.023 -0.007 
0.000 0.000 
0.018 0.000 
0.001 0.014 
0.028 0.001 
0.001 0.009 
0.047 -0.005 
-0.011 -0.029 
0.011 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.001 0.004 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.001 0.000 
0.000 0.001 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.003 0.000 
-0.000 0.001 
-0.006 0.001 
-0.000 0.006 
0.000 0.000 
0.000 0.000 
-0.003 0.000 
-0.000 0.011 
-0.001 -0.000 
0.002 0.012 
0.010 -0.002 
0.000 0.000 
0.007 0.000 
-0.001 0.010 
0.017 -0.002 
-0.000 0.006 
0.019 -0.003 
-0.003 -0.016 
0.003 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.001 0.000 
-0.000 0.001 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.001 
0.001 -0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.001 0.000 
0.000 0.000 
-0.001 0.000 
0.000 0.001 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 0.004 
-0.001 0.000 
0.000 0.005 
0.004 -0.001 
0.000 0.000 
0.003 0.000 
-0.000 0.005 
0.005 -0.001 
0.000 0.001 
0.009 -0.003 
-0.002 -0.007 
0.003 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.001 0.000 
-0.001 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.001 0.000 
0.000 0.001 
0.001 -0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 0.000 
0.000 -0.000 
-0.000 0.000 
0.000 -0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 0.001 
0.000 0.000 
0.000 0.001 
0.001 -0.000 
0.000 0.000 
0.001 0.000 
0.000 0.002 
0.003 -0.000 
0.000 0.002 
0.004 -0.001 
-0.001 -0.003 
-0.003 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
